2018-11\banner_side.png|647x839|970x1258|scale=1.5|OK
2018-11\dfande_xmas_tree_maintenance.png|550x384|825x576|scale=1.5|OK
2018-11\logo_DFandE.jpg|267x90|534x180|scale=2|OK
2018-12\1.png|712x450|1068x675|scale=1.5|OK
2018-12\2.png|712x450|1068x675|scale=1.5|OK
2018-12\3.png|712x450|1068x675|scale=1.5|OK
2018-12\HP.png|400x516|600x774|scale=1.5|OK
2018-12\QP.png|400x516|600x774|scale=1.5|OK
2019-01\1.png|650x289|975x434|scale=1.5|OK
2019-01\badges.png|462x289|924x578|scale=2|OK
2019-01\Chevron-300x110.png|300x110|600x220|scale=2|OK
2019-01\Chevron.png|396x145|792x290|scale=2|OK
2019-01\chkoe_valve_2.png|462x289|924x578|scale=2|OK
2019-01\choke_valve.png|462x289|924x578|scale=2|OK
2019-01\choke_valves.png|462x289|924x578|scale=2|OK
2019-01\choke_valve_1.png|462x289|924x578|scale=2|OK
2019-01\Contact_Us_Page.png|1231x599|1231x599|scale=1|OK
2019-01\Drilling_Main.png|550x384|825x576|scale=1.5|OK
2019-01\driver_retrievable_choke.png|462x289|924x578|scale=2|OK
2019-01\engineering.png|462x289|924x578|scale=2|OK
2019-01\fishing_re_entry_1.png|462x289|924x578|scale=2|OK
2019-01\fishing_re_entry_2.png|462x289|924x578|scale=2|OK
2019-01\fishing_re_entry_3.png|462x289|924x578|scale=2|OK
2019-01\fishing_re_entry_4.png|462x289|924x578|scale=2|OK
2019-01\fishing_re_entry_5.png|462x289|924x578|scale=2|OK
2019-01\fishing_re_entry_6.png|462x289|924x578|scale=2|OK
2019-01\jack_up.png|462x289|924x578|scale=2|OK
2019-01\land_rig.png|462x289|924x578|scale=2|OK
2019-01\land_rig_2.png|462x289|924x578|scale=2|OK
2019-01\Main_EPC.png|550x384|825x576|scale=1.5|OK
2019-01\mAIN_fishing_re_entry.png|550x384|825x576|scale=1.5|OK
2019-01\OCTG_1.png|462x289|924x578|scale=2|OK
2019-01\offshore_drilling.png|462x289|924x578|scale=2|OK
2019-01\offshore_platform_epc.png|462x289|924x578|scale=2|OK
2019-01\platform_1.png|462x289|924x578|scale=2|OK
2019-01\platform_2.png|462x289|924x578|scale=2|OK
2019-01\platform_3.png|462x289|924x578|scale=2|OK
2019-01\procurement.png|462x289|924x578|scale=2|OK
2019-01\procurement_2.png|462x289|924x578|scale=2|OK
2019-01\services_banner.png|430x300|860x600|scale=2|OK
2019-01\Shell-300x110.png|300x110|600x220|scale=2|OK
2019-01\Shell.png|396x145|792x290|scale=2|OK
2019-01\Valve.png|462x289|924x578|scale=2|OK
2019-01\Valves_Banner_1.png|550x384|825x576|scale=1.5|OK
2019-01\wellhead.png|462x289|924x578|scale=2|OK
2019-01\wellhead_xmas2.png|462x289|924x578|scale=2|OK
2019-01\wellhead_xmas_tree.png|462x289|924x578|scale=2|OK
2019-01\xmas_tree.png|462x289|924x578|scale=2|OK
2019-01\xmas_tree_2.png|462x289|924x578|scale=2|OK
2019-01\xmas_tree_3.png|462x289|924x578|scale=2|OK
2019-01\xmas_tree_banner_1.png|550x384|825x576|scale=1.5|OK
2019-02\1-282x212.png|282x212|564x424|scale=2|OK
2019-02\2-282x212.png|282x212|564x424|scale=2|OK
2019-02\2-283x376.jpeg|283x376|566x752|scale=2|OK
2019-02\3-282x212.png|282x212|564x424|scale=2|OK
2019-02\4-282x212.png|282x212|564x424|scale=2|OK
2019-02\5-282x212.png|282x212|564x424|scale=2|OK
2019-02\6-282x212.png|282x212|564x424|scale=2|OK
2019-02\8-282x212.png|282x212|564x424|scale=2|OK
2019-02\9-282x212.png|282x212|564x424|scale=2|OK
2019-02\A-283x376.png|283x376|566x752|scale=2|OK
2019-02\Actuators_NCEC.png|500x375|750x562|scale=1.5|OK
2019-02\addax.jpg|279x70|558x140|scale=2|OK
2019-02\Agba1-1-283x376.png|283x376|566x752|scale=2|OK
2019-02\Agba2-283x376.png|283x376|566x752|scale=2|OK
2019-02\Agba3-283x376.png|283x376|566x752|scale=2|OK
2019-02\Agba4-1-283x376.png|283x376|566x752|scale=2|OK
2019-02\Agbami_Refurb_Banner.png|500x375|750x562|scale=1.5|OK
2019-02\B-283x376.png|283x376|566x752|scale=2|OK
2019-02\C-283x376.png|283x376|566x752|scale=2|OK
2019-02\Drillig_Support_DFandE.png|290x240|580x480|scale=2|OK
